,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-07-31,BRIF02A,CORPORATE BOND,197000000000.0,1,34000000000,0,24000000000,0,1000000000,138000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
1,2023-08-31,BRIF02A,CORPORATE BOND,197000000000.0,1,34000000000,0,24000000000,0,1000000000,138000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
2,2023-09-29,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
3,2023-10-31,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
4,2023-11-30,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
5,2023-12-29,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
6,2024-01-31,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
7,2024-02-29,BRIF02A,CORPORATE BOND,197000000000.0,1,106000000000,0,24000000000,0,1000000000,66000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
8,2024-03-28,BRIF02A,CORPORATE BOND,197000000000.0,1,110000000000,0,24000000000,0,1000000000,62000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
9,2024-04-30,BRIF02A,CORPORATE BOND,197000000000.0,1,110000000000,0,24000000000,0,1000000000,62000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
10,2024-05-31,BRIF02A,CORPORATE BOND,197000000000.0,1,110000000000,0,24000000000,0,1000000000,62000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
11,2024-06-28,BRIF02A,CORPORATE BOND,197000000000.0,1,110000000000,0,24000000000,0,1000000000,62000000000,0,0,0,197000000000,0,0,0,0,0,0,0,0,0,0
