,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,76500000000,64000000000,20900000000,137500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,76500000000,64000000000,20900000000,137500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,76500000000,64000000000,20900000000,137500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,76500000000,64000000000,20900000000,137500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,76500000000,64000000000,20900000000,137500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,96000000000,64000000000,23400000000,115500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,96000000000,64000000000,23400000000,115500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,96000000000,64000000000,23400000000,115500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,96000000000,64000000000,23400000000,115500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,BJBR03ASBCN1,CORPORATE BOND,379000000000.0,1,42000000000,2100000000,96000000000,64000000000,23400000000,115500000000,0,36000000000,0,379000000000,0,0,0,0,0,0,0,0,0,0
