,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-01-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
1,2023-02-28,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
2,2023-03-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
3,2023-04-28,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
4,2023-05-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
5,2023-06-27,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
6,2023-07-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
7,2023-08-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
8,2023-09-29,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
9,2023-10-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
10,2023-11-30,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
11,2023-12-29,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
12,2024-01-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127100,0,0,0,0,127100,0,0,0,0,0,0,0,0,0,0
13,2024-02-29,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
14,2024-03-28,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
15,2024-04-30,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
16,2024-05-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
17,2024-06-28,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
18,2024-07-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
19,2024-08-30,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
20,2024-09-30,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
21,2024-10-31,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
22,2024-11-29,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
23,2024-12-30,RBMEECF,EQUITY CROWDFUNDING (ECF),158875.0,50000,0,0,0,0,127060,0,0,0,0,127060,0,0,0,0,40,0,0,0,0,40
