,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-12-29,TPR-BBTN04B3JP,TERM NOTES,234541750854.0,1,0,0,0,0,0,0,0,0,234541750854,234541750854,0,0,0,0,0,0,0,0,0,0
1,2024-01-31,TPR-BBTN04B3JP,TERM NOTES,234541750854.0,1,0,0,0,0,0,0,0,0,234541750854,234541750854,0,0,0,0,0,0,0,0,0,0
2,2024-02-29,TPR-BBTN04B3JP,TERM NOTES,234541750854.0,1,0,0,0,0,0,0,0,0,234541750854,234541750854,0,0,0,0,0,0,0,0,0,0
3,2024-03-28,TPR-BBTN04B3JP,TERM NOTES,230353505303.0,1,0,0,0,0,0,0,0,0,230353505303,230353505303,0,0,0,0,0,0,0,0,0,0
4,2024-04-30,TPR-BBTN04B3JP,TERM NOTES,230353505303.0,1,0,0,0,0,0,0,0,0,230353505303,230353505303,0,0,0,0,0,0,0,0,0,0
5,2024-05-31,TPR-BBTN04B3JP,TERM NOTES,230353505303.0,1,0,0,0,0,0,0,0,0,230353505303,230353505303,0,0,0,0,0,0,0,0,0,0
6,2024-06-28,TPR-BBTN04B3JP,TERM NOTES,226165259752.0,1,0,0,0,0,0,0,0,0,226165259752,226165259752,0,0,0,0,0,0,0,0,0,0
7,2024-07-31,TPR-BBTN04B3JP,TERM NOTES,226165259752.0,1,0,0,0,0,0,0,0,0,226165259752,226165259752,0,0,0,0,0,0,0,0,0,0
8,2024-08-30,TPR-BBTN04B3JP,TERM NOTES,226165259752.0,1,0,0,0,0,0,0,0,0,226165259752,226165259752,0,0,0,0,0,0,0,0,0,0
9,2024-09-30,TPR-BBTN04B3JP,TERM NOTES,221977014201.0,1,0,0,0,0,0,0,0,0,221977014201,221977014201,0,0,0,0,0,0,0,0,0,0
10,2024-10-31,TPR-BBTN04B3JP,TERM NOTES,221977014201.0,1,0,0,0,0,0,0,0,0,221977014201,221977014201,0,0,0,0,0,0,0,0,0,0
11,2024-11-29,TPR-BBTN04B3JP,TERM NOTES,221977014201.0,1,0,0,0,0,0,0,0,0,221977014201,221977014201,0,0,0,0,0,0,0,0,0,0
12,2024-12-30,TPR-BBTN04B3JP,TERM NOTES,217788768650.0,1,0,0,0,0,0,0,0,0,217788768650,217788768650,0,0,0,0,0,0,0,0,0,0
