,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-12-29,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15439,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
1,2024-01-31,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15803,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
2,2024-02-29,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15715,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
3,2024-03-28,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15873,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
4,2024-04-30,USDOPPM01CCN2,CORPORATE BOND,1078500.0,16276,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
5,2024-05-31,USDOPPM01CCN2,CORPORATE BOND,1078500.0,16251,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
6,2024-06-28,USDOPPM01CCN2,CORPORATE BOND,1078500.0,16394,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
7,2024-07-31,USDOPPM01CCN2,CORPORATE BOND,1078500.0,16294,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
8,2024-08-30,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15473,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
9,2024-09-30,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15144,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
10,2024-10-31,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15705,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
11,2024-11-29,USDOPPM01CCN2,CORPORATE BOND,1078500.0,15856,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
12,2024-12-30,USDOPPM01CCN2,CORPORATE BOND,1078500.0,16162,0,0,500000,0,278500,0,0,0,0,778500,0,0,0,300000,0,0,0,0,0,300000
