,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-08-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,0,109000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
1,2022-09-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
2,2022-10-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
3,2022-11-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
4,2022-12-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
5,2023-01-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
6,2023-02-28,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
7,2023-03-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
8,2023-04-28,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
9,2023-05-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
10,2023-06-27,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
11,2023-07-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
12,2023-08-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,104000000000,60000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
13,2023-09-29,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
14,2023-10-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
15,2023-11-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
16,2023-12-29,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
17,2024-01-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
18,2024-02-29,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
19,2024-03-28,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
20,2024-04-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
21,2024-05-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
22,2024-06-28,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
23,2024-07-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,94000000000,70000000000,2650000000,0,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
24,2024-08-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,84000000000,70000000000,2650000000,10000000000,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
25,2024-09-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,84000000000,70000000000,2650000000,10000000000,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
26,2024-10-31,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,84000000000,70000000000,2650000000,10000000000,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
27,2024-11-29,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,84000000000,70000000000,2650000000,10000000000,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
28,2024-12-30,SIKAII01BCN1,SUKUK,382650000000.0,1,95000000000,5000000000,84000000000,70000000000,2650000000,10000000000,0,25000000000,91000000000,382650000000,0,0,0,0,0,0,0,0,0,0
